Title,CiteScore
Ca-A Cancer Journal for Clinicians,130.47
MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,63.12
Chemical Reviews,51.08
Chemical Society Reviews,39.42
"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System",36.13
Reviews of Modern Physics,34.49
Materials Science and Engineering: R: Reports,31.32
Progress in Materials Science,30.87
Energy and Environmental Science,30.87
Annual Review of Immunology,29.94
Physiological Reviews,29.92
Advances in Physics,27.06
Annual Review of Astronomy and Astrophysics,26.27
IEEE Communications Surveys and Tutorials,26.26
Nature Reviews Materials,25.79
Nature Materials,25.47
Nature Nanotechnology,25.47
Nature Energy,25.21
Progress in Polymer Science,24.94
Annual Review of Psychology,24.43
Progress in Energy and Combustion Science,24.19
Advances in Optics and Photonics,22.95
Clinical Microbiology Reviews,22.57
Annual Review of Biochemistry,22.39
Annual Review of Pathology: Mechanisms of Disease,22.09
Cell,21.99
Annual Review of Plant Biology,21.98
Nature Photonics,21.95
Annual Review of Condensed Matter Physics,21.56
Nature Genetics,21.12
Advanced Materials,21.1
Accounts of Chemical Research,20.79
MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,20.64
Nature Reviews Molecular Cell Biology,20.56
Living Reviews in Relativity,20.38
Pharmacological Reviews,20.29
Journal of Extracellular Vesicles,20.23
Physics Reports,19.42
Nature Reviews Cancer,19.21
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,18.18
Annual Review of Fluid Mechanics,17.49
Annual Review of Materials Research,17.28
Nature Reviews Immunology,17.23
Nature Reviews Genetics,17.21
Annual Review of Cell and Developmental Biology,17.02
Annual Review of Neuroscience,16.92
Nature Medicine,16.81
Advanced Energy Materials,16.78
Journal of Statistical Software,16.32
"Psychological Science in the Public Interest, Supplement",16.32
Psychological Bulletin,16.24
Science,15.85
Reviews of Geophysics,15.83
Immunity,15.82
Cancer Cell,15.45
Nature Chemistry,15.28
Annual Review of Clinical Psychology,15.15
Nature Neuroscience,15.14
Surface Science Reports,15.1
Foundations and Trends in Computer Graphics and Vision,14.83
Nature Reviews Disease Primers,14.79
New England Journal of Medicine,14.75
Nature,14.59
Annual Review of Physical Chemistry,14.48
Annual Review of Marine Science,14.37
Journal of Photochemistry and Photobiology C: Photochemistry Reviews,14.29
Microbiology and Molecular Biology Reviews,14.29
ACS Nano,14.29
Trends in Cell Biology,14.28
