"Name","Description","GitHub","Stars","Watchers","Forks","DOI","Journal","Year","Altmetrics","ImpactFactor"
"samtools","Tools (written in C using htslib) for manipulating next-generation sequencing data","https://github.com/samtools/samtools",657,110,353,"10.1093/bioinformatics/btp352","Bioinformatics","2009","72.53",5.481
"bwa","Burrow-Wheeler Aligner for short-read alignment (see minimap2 for long-read alignment)","https://github.com/lh3/bwa",584,116,319,"10.1093/bioinformatics/btp324","Bioinformatics","2009","43.858",5.481
"STAR","RNA-seq aligner","https://github.com/alexdobin/STAR",548,86,192,"10.1093/bioinformatics/bts635","Bioinformatics","2012","92.99",5.481
"trinityrnaseq","Trinity RNA-Seq de novo transcriptome assembly","https://github.com/trinityrnaseq/trinityrnaseq",297,61,186,"10.1038/nbt.1883","Nature Biotechnology","2011","40.696",35.724
"seurat","R toolkit for single cell genomics","https://github.com/satijalab/seurat",262,51,177,"10.1038/nbt.4096","Nature Biotechnology","2018","317.74",35.724
"MACS","MACS -- Model-based Analysis of ChIP-Seq","https://github.com/taoliu/MACS",252,52,159,"10.1186/gb-2008-9-9-r137","Genome Biology","2008","15",13.214
"canu","A single molecule sequence assembler for genomes large and small.","https://github.com/marbl/canu",240,46,75,"10.1101/gr.215087.116","Genome Research","2017","87.65",10.101
"gemini","a lightweight db framework for exploring genetic variation.","https://github.com/arq5x/gemini",233,46,105,"10.1371/journal.pcbi.1003153","PLoS Computational Biology","2013","39.334",3.955
"bowtie2","A fast and sensitive gapped read aligner","https://github.com/BenLangmead/bowtie2",189,29,68,"10.1038/nmeth.1923","Nature Methods","2012","76.838",26.919
"vcftools","A set of tools written in Perl and C++ for working with VCF files, such as those generated by the 1000 Genomes Project. ","https://github.com/vcftools/vcftools",189,26,83,"10.1093/bioinformatics/btr330","Bioinformatics","2011","30.08",5.481
"velvet","Short read de novo assembler using de Bruijn graphs","https://github.com/dzerbino/velvet",176,22,74,"10.1371/journal.pone.0008407","PLoS ONE","2009","6.5",2.766
"cufflinks","","https://github.com/cole-trapnell-lab/cufflinks",172,41,92,"10.1038/nbt.1621","Nature Biotechnology","2010","44.434",35.724
"hisat2","Graph-based alignment (Hierarchical Graph FM index)","https://github.com/infphilo/hisat2",171,41,57,"10.1038/nmeth.3317","Nature Methods","2015","50.316",26.919
"bcftools","This is the official development repository for BCFtools. To compile, the develop branch of htslib is needed: git clone --branch=develop git://github.com/samtools/htslib.git htslib","https://github.com/samtools/bcftools",171,52,111,"10.1093/bioinformatics/btw044","Bioinformatics","2016","8.75",5.481
"vcfanno","annotate a VCF with other VCFs/BEDs/tabixed files ","https://github.com/brentp/vcfanno",159,22,27,"10.1186/s13059-016-0973-5","Genome Biology","2015","8.05",13.214
"giggle","Interval data structure","https://github.com/ryanlayer/giggle",153,19,19,"10.1038/nmeth.4556","Nature Methods","2018","102.95",26.919
"lumpy-sv","lumpy: a general probabilistic framework for structural variant discovery","https://github.com/arq5x/lumpy-sv",149,26,71,"10.1186/gb-2014-15-6-r84","Genome Biology","2014","42.15",13.214
"abyss",":microscope: Assemble large genomes using short reads","https://github.com/bcgsc/abyss",140,26,64,"10.1093/bioinformatics/btp367","Bioinformatics","2009","3",5.481
"mothur","Welcome to the mothur project, initiated by Dr. Patrick Schloss and his software development team in the Department of Microbiology & Immunology at The University of Michigan. This project seeks to develop a single piece of open-source, expandable software to fill the bioinformatics needs of the microbial ecology community.","https://github.com/mothur/mothur",137,33,68,"10.1128/aem.01541-09","Applied & Environmental Microbiology","2009","23.5",3.633
"delly","DELLY2: Structural variant discovery by integrated paired-end and split-read analysis","https://github.com/dellytools/delly",125,32,55,"10.1093/bioinformatics/bts378","Bioinformatics","2012","23.5",5.481
"qiime2","Official repository for the QIIME 2 framework.","https://github.com/qiime2/qiime2",113,34,74,"10.1038/nmeth.f.303","Nature Methods","2010","44.208",26.919
"mummer","Mummer alignment tool","https://github.com/mummer4/mummer",111,20,32,"10.1371/journal.pcbi.1005944","PLoS Computational Biology","2018","106.85",3.955
"monocle-release","","https://github.com/cole-trapnell-lab/monocle-release",103,30,50,"10.1038/nbt.2859","Nature Biotechnology","2014","79.646",35.724
"clinvar","This repo provides tools to convert ClinVar data into a tab-delimited flat file, and also provides that resulting tab-delimited flat file.","https://github.com/macarthur-lab/clinvar",95,41,41,"10.1093/nar/gkx1153","Nucleic Acids Research","2017","13.53",11.561
